date,Mean Var
2016-10-13,11457.251101080697
2016-10-14,11508.190259560382
2016-10-17,11451.284802240501
2016-10-18,11553.358868761083
2016-10-19,11578.631667531314
2016-10-20,11635.660823110244
2016-10-21,11657.106232094258
2016-10-24,11739.855487023917
2016-10-25,11636.443587788643
2016-10-26,11614.645832574111
2016-10-27,11603.395783554355
2016-10-28,11492.170013400259
2016-10-31,11439.222810364343
2016-11-01,11342.470863021696
2016-11-02,11293.222419780057
2016-11-03,11233.058883925889
2016-11-04,11212.488871813179
2016-11-07,11464.00144260709
2016-11-08,11484.21582769923
2016-11-09,11552.220387886096
2016-11-10,11519.276087621489
2016-11-11,11575.568238228474
2016-11-14,11492.624517502445
2016-11-15,11528.41140311955
2016-11-16,11594.061158496592
2016-11-17,11699.846647305963
2016-11-18,11669.815713357637
2016-11-21,11704.458469432795
2016-11-22,11705.659562404906
2016-11-23,11682.301856001326
2016-11-25,11716.765728896833
2016-11-28,11672.52306102695
2016-11-29,11726.546126697882
2016-11-30,11624.864593507398
2016-12-01,11546.267524304934
2016-12-02,11574.724105435798
2016-12-05,11656.108939255577
2016-12-06,11619.582178434051
2016-12-07,11780.076324051961
2016-12-08,11782.11641328016
2016-12-09,11893.287648901121
2016-12-12,11878.704120644463
2016-12-13,12002.06735731035
2016-12-14,11936.713534598955
2016-12-15,11948.971557804478
2016-12-16,11942.321581460292
2016-12-19,11918.685119279264
2016-12-20,11969.058325576325
2016-12-21,11962.098494972772
2016-12-22,11910.925054186078
2016-12-23,11929.669662651604
2016-12-27,11932.823848756067
2016-12-28,11862.443945288054
2016-12-29,11867.887556857426
2016-12-30,11790.411751157146
2017-01-03,11953.348937254526
2017-01-04,12065.294279014955
2017-01-05,12076.899689525118
2017-01-06,12182.099206601632
2017-01-09,12169.988267260114
2017-01-10,12167.969255142907
2017-01-11,12220.948495645784
2017-01-12,12154.585758980238
2017-01-13,12169.550573224942
2017-01-17,12185.814673442026
2017-01-18,12176.231648014767
2017-01-19,12132.833724870423
2017-01-20,12141.29136972647
2017-01-23,12159.656579431314
2017-01-24,12214.302649817226
2017-01-25,12310.52356396806
2017-01-26,12287.01017318702
2017-01-27,12329.814752836646
2017-01-30,12321.344415584288
2017-01-31,12319.6360547453
2017-02-01,12391.448519832938
2017-02-02,12373.380054459263
2017-02-03,12501.084574548597
2017-02-06,12471.98241609964
2017-02-07,12504.155976545433
2017-02-08,12551.607120861532
2017-02-09,12610.845969042824
2017-02-10,12640.755951478059
2017-02-13,12693.82282511933
2017-02-14,12764.455092490603
2017-02-15,12848.081004092914
2017-02-16,12854.529944145208
2017-02-17,12838.088887630816
2017-02-21,12941.972566835491
2017-02-22,12962.106408216305
2017-02-23,12979.368474658811
2017-02-24,13030.752996106927
2017-02-27,13037.420559162327
2017-02-28,13014.304868071224
2017-03-01,13193.055856336972
